,0
2111,60
2112,60
2113,60
2114,60
2115,60
2116,60
2117,60
2118,60
2119,60
2120,60
2121,60
2122,60
2123,60
2124,60
2125,60
2126,60
2127,60
2128,60
2129,60
2130,60
2131,60
2132,60
2133,60
2134,60
2135,60
2136,60
2137,60
2138,60
2139,60
2140,60
2141,60
2142,60
2143,60
2144,60
2145,60
2146,60
2147,60
2148,60
2149,60
2150,60
2151,60
2152,60
2153,60
2154,60
2155,60
2156,60
2157,60
2158,60
2159,60
2160,60
2161,60
2162,60
2163,60
2164,60
2165,60
2166,60
2167,60
2168,60
2169,60
2170,60
2171,60
2172,60
2173,60
2174,60
2175,60
2176,60
2177,60
2178,60
2179,60
2180,60
2181,60
2182,60
2183,60
2184,60
2185,60
2186,60
2187,60
2188,60
2189,60
2190,60
2191,60
2192,60
2193,60
2194,60
2195,60
2196,60
2197,60
2198,60
2199,60
2200,60
2201,60
2202,60
2203,60
2204,60
2205,60
2206,60
2207,60
2208,60
2209,60
2210,60
2211,60
2212,60
2213,60
2214,60
2215,60
2216,60
2217,60
2218,60
2219,60
2220,60
2221,60
2222,60
2223,60
2224,60
2225,60
2226,60
2227,60
2228,60
2229,60
2230,60
2231,60
2232,60
2233,60
2234,60
2235,60
2236,60
2237,60
2238,60
2239,60
2240,60
2241,60
2242,60
2243,60
2244,60
2245,60
2246,60
2247,60
2248,60
2249,60
2250,60
2251,60
2252,60
2253,60
2254,60
2255,60
2256,60
2257,60
2258,60
2259,60
2260,60
2261,60
2262,60
2263,60
2264,60
2265,60
2266,60
2267,60
2268,60
2269,60
2270,60
2271,60
2272,60
2273,60
2274,60
2275,60
2276,60
2277,60
2278,60
2279,60
2280,60
2281,60
2282,60
2283,60
2284,60
2285,60
2286,60
2287,60
2288,60
2289,60
2290,60
2291,60
2292,60
2293,60
2294,60
2295,60
2296,60
2297,60
2298,60
2299,60
2300,60
2301,60
2302,60
2303,60
2304,60
2305,60
2306,60
2307,60
2308,60
2309,60
2310,60
2311,60
2312,60
2313,60
2314,60
2315,60
2316,60
2317,60
2318,60
2319,60
2320,60
2321,60
2322,60
2323,60
2324,60
2325,60
2326,60
2327,60
2328,60
2329,60
2330,60
2331,60
2332,60
2333,60
2334,60
2335,60
2336,60
2337,60
2338,60
2339,60
2340,60
2341,60
2342,60
2343,60
2344,60
2345,60
2346,60
2347,60
2348,60
2349,60
2350,60
2351,60
2352,60
2353,60
2354,60
2355,60
2356,60
2357,60
2358,60
2359,60
2360,60
2361,60
2362,60
2363,60
2364,60
2365,60
2366,60
2367,60
2368,60
2369,60
2370,60
2371,60
2372,60
2373,60
2374,60
2375,60
2376,60
2377,60
2378,60
2379,60
2380,60
2381,60
2382,60
2383,60
2384,60
2385,60
2386,60
2387,60
2388,60
2389,60
2390,60
2391,60
2392,60
2393,60
2394,60
2395,60
2396,60
2397,60
2398,60
2399,60
2400,60
2401,60
2402,60
2403,60
2404,60
2405,60
2406,60
2407,60
2408,60
2409,60
2410,60
2411,60
2412,60
2413,60
2414,60
2415,60
2416,60
2417,60
2418,60
2419,60
2420,60
2421,60
2422,60
2423,60
2424,60
2425,60
2426,60
2427,60
2428,60
2429,60
2430,60
2431,60
2432,60
2433,60
2434,60
2435,60
2436,60
2437,60
2438,60
2439,60
2440,60
2441,60
2442,60
2443,60
2444,60
2445,60
2446,60
2447,60
2448,60
2449,60
2450,60
2451,60
2452,60
2453,60
2454,60
2455,60
2456,60
2457,60
2458,60
2459,60
2460,60
2461,60
2462,60
2463,60
2464,165
2465,130
2466,30
2467,30
2468,30
2469,15
2470,15
2471,15
2472,15
2473,15
2474,15
2475,15
2476,15
2477,60
2478,30
2479,30
2480,13
2481,10
2482,225
2483,130
2484,30
2485,30
2486,30
2487,30
2488,30
2489,30
2490,30
2491,15
2492,15
2493,15
2494,15
2495,15
2496,15
2497,15
2498,15
2499,180
2500,60
2501,60
2502,60
2503,60
2504,60
2505,60
2506,60
2507,60
2508,60
2509,60
2510,60
2511,60
2512,60
2513,60
2514,60
2515,60
2516,60
2517,60
2518,60
2519,60
2520,60
2521,60
2522,60
2523,60
2524,60
2525,60
2526,60
2527,60
2528,60
2529,60
2530,60
2531,60
2532,60
2533,60
2534,60
2535,60
2536,60
2537,60
2538,60
2539,60
2540,60
2541,60
2542,60
2543,60
2544,60
2545,60
2546,60
2547,60
2548,60
2549,60
2550,60
2551,60
2552,60
2553,60
2554,30
2555,30
2556,670
2557,60
2558,60
2559,60
2560,60
2561,60
2562,60
2563,60
2564,60
2565,60
2566,60
2567,60
2568,60
2569,60
2570,60
2571,60
2572,60
2573,60
2574,60
2575,60
2576,60
2577,60
2578,60
2579,60
2580,60
2581,60
2582,60
2583,60
2584,60
2585,60
2586,60
2587,60
2588,60
2589,60
2590,60
2591,60
2592,60
2593,60
2594,60
2595,60
2596,60
2597,60
2598,60
2599,60
2600,60
2601,60
2602,60
2603,60
2604,60
2605,60
2606,60
2607,60
2608,60
2609,60
2610,60
2611,60
2612,60
2613,60
2614,60
2615,60
2616,60
2617,60
2618,60
2619,60
2620,60
2621,60
2622,60
2623,60
2624,60
2625,60
2626,60
2627,60
2628,60
2629,60
2630,60
2631,60
2632,60
2633,60
2634,60
2635,60
2636,60
2637,60
2638,60
2639,60
2640,60
2641,60
2642,60
2643,60
2644,60
2645,60
2646,60
2647,60
2648,60
2649,60
2650,60
2651,60
2652,60
2653,60
2654,60
2655,60
2656,60
2657,60
2658,60
2659,60
2660,60
2661,60
2662,60
2663,60
2664,60
2665,60
2666,60
2667,60
2668,60
2669,60
2670,60
2671,60
2672,60
2673,60
2674,60
2675,60
2676,60
2677,60
2678,60
2679,60
2680,60
2681,60
2682,60
2683,60
2684,60
2685,60
2686,60
2687,60
2688,60
2689,60
2690,60
2691,60
2692,60
2693,60
2694,60
2695,60
2696,60
2697,60
2698,60
2699,60
2700,60
2701,60
2702,60
2703,60
2704,60
2705,60
2706,60
2707,60
2708,60
2709,60
2710,60
2711,60
2712,60
2713,60
2714,60
2715,60
2716,60
2717,60
2718,60
2719,60
2720,60
2721,60
2722,60
2723,60
2724,60
2725,60
2726,60
2727,60
2728,60
2729,60
2730,60
2731,60
2732,60
2733,60
2734,60
2735,60
2736,60
2737,60
2738,60
2739,60
2740,60
2741,60
2742,60
2743,60
2744,60
2745,60
2746,60
2747,60
2748,60
2749,60
2750,60
2751,60
2752,60
2753,60
2754,60
2755,60
2756,60
2757,60
2758,60
2759,60
2760,60
2761,60
2762,60
2763,60
2764,60
2765,60
2766,60
2767,60
2768,60
2769,60
2770,60
2771,60
2772,60
2773,60
2774,60
2775,60
2776,60
2777,60
2778,60
2779,60
2780,60
2781,60
2782,60
2783,60
2784,60
2785,60
2786,60
2787,60
2788,60
2789,60
2790,60
2791,60
2792,60
2793,60
2794,60
2795,60
2796,60
2797,60
2798,60
2799,60
2800,60
2801,60
2802,60
2803,60
2804,60
2805,60
2806,60
2807,60
2808,60
2809,60
2810,60
2811,60
2812,60
2813,60
2814,60
2815,60
2816,60
2817,60
2818,60
2819,60
2820,60
2821,60
2822,60
2823,60
2824,60
2825,60
2826,60
2827,60
2828,60
2829,60
2830,60
2831,60
2832,60
2833,60
2834,60
2835,60
2836,60
2837,60
2838,60
2839,60
2840,60
2841,60
2842,60
2843,60
2844,60
2845,60
2846,60
2847,60
2848,60
2849,60
2850,60
2851,60
2852,60
2853,60
2854,60
2855,60
2856,60
2857,60
2858,60
2859,60
2860,60
2861,60
2862,60
2863,60
2864,60
2865,60
2866,60
2867,60
2868,60
2869,60
2870,60
2871,60
2872,60
2873,60
2874,60
2875,60
2876,60
2877,60
2878,60
2879,60
2880,60
2881,60
2882,60
2883,60
2884,60
2885,60
2886,60
2887,60
2888,60
2889,60
2890,60
2891,60
2892,60
2893,60
2894,60
2895,60
2896,60
2897,60
2898,60
2899,60
2900,60
2901,60
2902,60
2903,60
2904,60
2905,60
2906,60
2907,60
2908,60
2909,60
2910,60
2911,60
2912,60
2913,60
2914,60
2915,60
2916,60
2917,60
2918,60
2919,60
2920,60
2921,60
2922,60
2923,60
2924,60
2925,60
2926,60
2927,60
2928,60
2929,60
2930,60
2931,60
2932,60
2933,60
2934,60
2935,60
2936,60
2937,60
2938,60
2939,60
2940,60
2941,60
2942,60
2943,60
2944,60
2945,60
2946,60
2947,60
2948,60
2949,60
2950,1019
2951,60
2952,60
2953,60
2954,60
2955,60
2956,60
2957,60
2958,60
2959,60
2960,60
2961,60
2962,60
2963,60
2964,60
2965,60
2966,60
2967,60
2968,60
2969,60
2970,60
2971,60
2972,60
2973,60
2974,60
2975,60
2976,60
2977,60
2978,60
2979,60
2980,60
2981,60
2982,60
2983,60
2984,60
2985,60
2986,60
2987,60
2988,60
2989,60
2990,60
2991,60
2992,60
2993,60
2994,60
2995,60
